contrast,lang,layer,auroc,n_pos,n_neg
cue_presence,ta,37,1.0,100,100
cue_presence,ta,38,1.0,100,100
cue_presence,ta,39,1.0,100,100
cue_presence,te,0,0.9540000000000001,100,100
cue_presence,te,1,0.976,100,100
cue_presence,te,2,0.994,100,100
cue_presence,te,3,1.0,100,100
cue_presence,te,4,1.0,100,100
cue_presence,te,5,1.0,100,100
cue_presence,te,6,1.0,100,100
cue_presence,te,7,1.0,100,100
cue_presence,te,8,1.0,100,100
cue_presence,te,9,1.0,100,100
cue_presence,te,10,1.0,100,100
cue_presence,te,11,1.0,100,100
cue_presence,te,12,1.0,100,100
cue_presence,te,13,1.0,100,100
cue_presence,te,14,1.0,100,100
cue_presence,te,15,1.0,100,100
cue_presence,te,16,1.0,100,100
cue_presence,te,17,1.0,100,100
cue_presence,te,18,1.0,100,100
cue_presence,te,19,1.0,100,100
cue_presence,te,20,1.0,100,100
cue_presence,te,21,1.0,100,100
cue_presence,te,22,1.0,100,100
cue_presence,te,23,1.0,100,100
cue_presence,te,24,1.0,100,100
cue_presence,te,25,1.0,100,100
cue_presence,te,26,1.0,100,100
cue_presence,te,27,1.0,100,100
cue_presence,te,28,1.0,100,100
cue_presence,te,29,1.0,100,100
cue_presence,te,30,1.0,100,100
cue_presence,te,31,1.0,100,100
cue_presence,te,32,1.0,100,100
cue_presence,te,33,1.0,100,100
cue_presence,te,34,1.0,100,100
cue_presence,te,35,1.0,100,100
cue_presence,te,36,1.0,100,100
cue_presence,te,37,1.0,100,100
cue_presence,te,38,1.0,100,100
cue_presence,te,39,1.0,100,100
cue_presence,or,0,0.9964999999999999,100,100
cue_presence,or,1,0.999,100,100
cue_presence,or,2,1.0,100,100
cue_presence,or,3,1.0,100,100
cue_presence,or,4,1.0,100,100
cue_presence,or,5,1.0,100,100
cue_presence,or,6,1.0,100,100
cue_presence,or,7,1.0,100,100
cue_presence,or,8,1.0,100,100
cue_presence,or,9,1.0,100,100
cue_presence,or,10,1.0,100,100
cue_presence,or,11,1.0,100,100
cue_presence,or,12,1.0,100,100
cue_presence,or,13,1.0,100,100
cue_presence,or,14,1.0,100,100
cue_presence,or,15,1.0,100,100
cue_presence,or,16,1.0,100,100
cue_presence,or,17,1.0,100,100
cue_presence,or,18,1.0,100,100
cue_presence,or,19,1.0,100,100
cue_presence,or,20,1.0,100,100
cue_presence,or,21,1.0,100,100
cue_presence,or,22,1.0,100,100
cue_presence,or,23,1.0,100,100
cue_presence,or,24,1.0,100,100
cue_presence,or,25,1.0,100,100
cue_presence,or,26,1.0,100,100
cue_presence,or,27,1.0,100,100
cue_presence,or,28,1.0,100,100
cue_presence,or,29,1.0,100,100
cue_presence,or,30,1.0,100,100
cue_presence,or,31,1.0,100,100
cue_presence,or,32,1.0,100,100
cue_presence,or,33,1.0,100,100
cue_presence,or,34,1.0,100,100
cue_presence,or,35,1.0,100,100
cue_presence,or,36,1.0,100,100
cue_presence,or,37,1.0,100,100
cue_presence,or,38,1.0,100,100
